noc21_code_name,posting_count,total_vacancies,valid_salary_postings,median_hourly_salary,salary_coverage_percentage,cluster,cluster_name
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",29,33,25,35.0,86.2,0,"Moderate demand, strong salary coverage"
"Contractors and supervisors, mechanic trades",81,89,35,38.5,43.2,1,"Higher salary, limited salary coverage"
"Contractors and supervisors, other construction trades, installers, repairers and servicers",172,223,144,35.125,83.7,0,"Moderate demand, strong salary coverage"
Cooks,2931,5161,2465,19.0,84.1,2,"Very high demand, lower salary"
Corporate sales managers,506,510,102,37.13533653846154,20.2,1,"Higher salary, limited salary coverage"
Correctional service officers,23,103,15,29.76,65.2,0,"Moderate demand, strong salary coverage"
"Correspondence, publication and regulatory clerks",57,60,27,27.08,47.4,1,"Higher salary, limited salary coverage"
Couriers and messengers,46,55,31,19.5,67.4,0,"Moderate demand, strong salary coverage"
Court clerks and related court services occupations,146,146,128,15.75,87.7,0,"Moderate demand, strong salary coverage"
Crane operators,87,96,29,40.0,33.3,1,"Higher salary, limited salary coverage"
Customer and information services supervisors,25,26,21,31.5,84.0,0,"Moderate demand, strong salary coverage"
Customer services representatives - financial institutions,20,24,12,19.75,60.0,0,"Moderate demand, strong salary coverage"
Cybersecurity specialists,139,147,41,42.0,29.5,1,"Higher salary, limited salary coverage"
Data entry clerks,79,109,41,22.5,51.9,0,"Moderate demand, strong salary coverage"
Data scientists,137,139,25,48.07692307692308,18.2,1,"Higher salary, limited salary coverage"
Database analysts and data administrators,264,268,49,43.27,18.6,1,"Higher salary, limited salary coverage"
Delivery service drivers and door-to-door distributors,618,680,364,21.0,58.9,0,"Moderate demand, strong salary coverage"
Dental assistants and dental laboratory assistants,376,384,295,27.5,78.5,0,"Moderate demand, strong salary coverage"
Dental hygienists and dental therapists,501,505,367,50.0,73.3,0,"Moderate demand, strong salary coverage"
Dentists,133,135,60,103.58670432692307,45.1,1,"Higher salary, limited salary coverage"
Dietitians and nutritionists,122,134,67,40.2,54.9,1,"Higher salary, limited salary coverage"
Dispatchers,111,134,82,28.85,73.9,0,"Moderate demand, strong salary coverage"
Drafting technologists and technicians,198,223,127,30.0,64.1,0,"Moderate demand, strong salary coverage"
"Dry cleaning, laundry and related occupations",34,47,30,18.875,88.2,0,"Moderate demand, strong salary coverage"
Early childhood educators and assistants,834,1409,693,22.0,83.1,0,"Moderate demand, strong salary coverage"
Economists and economic policy researchers and analysts,50,54,3,58.24519230769231,6.0,1,"Higher salary, limited salary coverage"
"Education policy researchers, consultants and program officers",59,111,49,26.7838125,83.1,0,"Moderate demand, strong salary coverage"
Educational counsellors,44,50,24,40.025,54.5,1,"Higher salary, limited salary coverage"
Electrical and electronics engineering technologists and technicians,193,235,101,32.96,52.3,1,"Higher salary, limited salary coverage"
Electrical and electronics engineers,209,230,55,43.269230769230774,26.3,1,"Higher salary, limited salary coverage"
Electrical mechanics,141,195,57,30.0,40.4,1,"Higher salary, limited salary coverage"
Electricians (except industrial and power system),455,597,283,35.0,62.2,0,"Moderate demand, strong salary coverage"
Electronic service technicians (household and business equipment),199,220,111,29.0,55.8,0,"Moderate demand, strong salary coverage"
"Electronics assemblers, fabricators, inspectors and testers",31,50,18,21.524807692307693,58.1,0,"Moderate demand, strong salary coverage"
Elementary and secondary school teacher assistants,264,265,58,24.505,22.0,1,"Higher salary, limited salary coverage"
Elementary school and kindergarten teachers,543,670,63,33.30625,11.6,1,"Higher salary, limited salary coverage"
Engineering inspectors and regulatory officers,43,51,12,30.865384615384613,27.9,1,"Higher salary, limited salary coverage"
Engineering managers,120,120,46,52.93509615384615,38.3,1,"Higher salary, limited salary coverage"
"Estheticians, electrologists and related occupations",275,431,227,20.19230769230769,82.5,0,"Moderate demand, strong salary coverage"
Executive assistants,221,221,109,29.21,49.3,1,"Higher salary, limited salary coverage"
Executive housekeepers,192,215,168,20.0,87.5,0,"Moderate demand, strong salary coverage"
Facility operation and maintenance managers,368,374,190,33.65384615384615,51.6,1,"Higher salary, limited salary coverage"
Film and video camera operators,24,25,12,25.5,50.0,0,"Moderate demand, strong salary coverage"
Financial advisors,290,333,91,31.25,31.4,1,"Higher salary, limited salary coverage"
Financial and investment analysts,432,433,90,36.05769230769231,20.8,1,"Higher salary, limited salary coverage"
Financial auditors and accountants,937,952,433,34.81129807692308,46.2,1,"Higher salary, limited salary coverage"
Financial managers,540,541,197,48.07692307692308,36.5,1,"Higher salary, limited salary coverage"
Financial sales representatives,104,106,13,28.98,12.5,1,"Higher salary, limited salary coverage"
Floor covering installers,51,80,51,27.0,100.0,0,"Moderate demand, strong salary coverage"
Food and beverage servers,480,675,297,17.4,61.9,0,"Moderate demand, strong salary coverage"
"Food counter attendants, kitchen helpers and related support occupations",1682,4020,1400,17.35,83.2,2,"Very high demand, lower salary"
Food service supervisors,2418,5112,2272,18.65,94.0,2,"Very high demand, lower salary"
Forestry technologists and technicians,51,57,23,27.24,45.1,1,"Higher salary, limited salary coverage"
"Furniture and fixture assemblers, finishers, refinishers and inspectors",35,123,27,21.0,77.1,0,"Moderate demand, strong salary coverage"
Gas fitters,45,50,21,37.0,46.7,1,"Higher salary, limited salary coverage"
General building maintenance workers and building superintendents,362,540,209,25.0,57.7,0,"Moderate demand, strong salary coverage"
General office support workers,506,624,353,21.509999999999998,69.8,0,"Moderate demand, strong salary coverage"
